"","ISSN","TIETOLAHDE","P_ARTIKKELI","PAANIMEKE","M_ARTIKKELI","MUUNIMEKETIETO","AINYLEISMAARE","SANOMALEHTILUOKKA","JULKAISUMAA","KIELI","KOKOELMALAJI","KOKOELMA","VARASTOSIGNUM","KOKO","KORKEUS_CM","LEVEYS_CM","EKORKEUS","ESIVALMISTELUKUVAUS","KUSTANTAJA","JULKAISIJA","ILM_ALPVM","ILM_ALPVM_EPATARKKA","ILM_ALPVM_SUL","ILM_LOPVM","ILM_LOPVM_EPATARKKA","ILM_LOPVM_SUL","JULKAJAN_LISAMAARE","HIST_ALPVM","HIST_ALPVM_EPATARKKA","HIST_ALPVM_SUL","SARJAN_ISSN","S_ARTIKKELI","SARJAN_PAANIMEKE","SM_ARTIKKELI","SARJAN_MUU_NIMEKETIETO","SARJAN_TEKIJA","SARJAN_SIS_NUMEROINTI","A_ARTIKKELI","ALKUKIEL_JULK","PAAJULKAISUN_ISSN","PJ_ARTIKKELI","PAAJULKAISUN_NIMI","HUOMAUTUSKENTTA","TEKSTITYYPPI","HIST_LOPVM","HIST_LOPVM_EPATARKKA","HIST_LOPVM_SUL","FENNICA_ILMLOPVM","start_date","end_date","start_year","end_year"
"2061","k226","","","Postimees","","Nädala-Postimees","SAN","","EA","est","BAL","ERI","","A3",NA,NA,"","","tuntematon","","04.01.1886","",NA,"27.09.1940","","",NA,"01.01.1927","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1886-01-04,1940-09-27,1886,1940
"2062","k227","","","Postimees Pärnu Väljaanne","","","SAN","","EA","est","BAL","ERI","","A2",NA,NA,"","","tuntematon","","01.01.1905","K",NA,"31.12.1923","PK","",NA,"01.01.1905","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1905-01-01,1923-12-31,1905,1923
"2063","k228","","","Päevaleht","","Päevaleht","SAN","","EA","est","BAL","ERI","","A2",NA,NA,"","","tuntematon","","16.12.1905","",NA,"26.07.1940","","",NA,"01.01.1920","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1905-12-16,1940-07-26,1905,1940
"2074","k239","","","Revalsche Zeitung","","","SAN","","EA","ger","BAL","ERI","","A3",NA,NA,"","","tuntematon","","01.07.1860","K",NA,"31.05.1940","","",NA,"01.07.1930","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1860-07-01,1940-05-31,1860,1940
"2079","k244","","","Sakala","","","SAN","","EA","est","BAL","ERI","","A2",NA,NA,"","","tuntematon","","11.03.1878","",NA,"09.09.1944","","",NA,"01.01.1941","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1878-03-11,1944-09-09,1878,1944
"2082","k114","","","Peelikums ""Baltijas Westnescha"" ... Numuram","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1897","K",NA,"31.12.1906","PK","",NA,"01.01.1897","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1897-01-01,1906-12-31,1897,1906
"2087","k119","","","""Peterburgas Awischu"" Literariskais Peelikums","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1901","K",NA,"31.12.1905","PK","",NA,"01.01.1901","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1901-01-01,1905-12-31,1901,1905
"2089","k121","","","Peterburgas Awises","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1901","K",NA,"31.12.1905","PK","",NA,"01.01.1901","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1901-01-01,1905-12-31,1901,1905
"2094","k126","","","Rigas Awise","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","15.07.1902","",NA,"31.12.1915","PK","",NA,"15.07.1902","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1902-07-15,1915-12-31,1902,1915
"2095","k127","","","""Rigas Awises"" Beletristikas (Feletona) Peelikums","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","15.07.1902","",NA,"31.12.1911","PK","",NA,"15.07.1902","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1902-07-15,1911-12-31,1902,1911
"2112","k144","","","Semkopis (Zemkopis)","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","22.01.1893","",NA,"24.06.1915","","",NA,"22.01.1893","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1893-01-22,1915-06-24,1893,1915
"2114","k146","","","Stahstu Nodala. Peelikums Pee Latweeschu Awischu","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1893","K",NA,"31.12.1912","PK","",NA,"01.01.1893","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1893-01-01,1912-12-31,1893,1912
"2122","k154","","","Tehwija","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","15.08.1884","",NA,"31.12.1914","PK","",NA,"15.08.1884","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1884-08-15,1914-12-31,1884,1914
"2123","k155","","","Tehwijas Feletons","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1889","K",NA,"31.12.1914","PK","",NA,"01.01.1889","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1889-01-01,1914-12-31,1889,1914
"2126","k158","","","Wahrds","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","28.04.1901","",NA,"31.12.1907","PK","",NA,"28.04.1901","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1901-04-28,1907-12-31,1901,1907
"2127","k159","","","Walmeeras Sinotajs","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1898","K",NA,"22.08.1915","","",NA,"01.01.1898","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1898-01-01,1915-08-22,1898,1915
"2233","1458-8803","FEN","","Österbottniska Posten","","","SAN","PAI","FI","swe","FEN","FEN","","A2/A3",29,44,"2","Lehti jatkoi aikakauslehtene 12.4.1968 lähtien aina 31.12.1985 saakka.","J. W. Nesslers Tryckeri","","13.12.1883","",NA,"31.12.1985","PK","",NA,"13.12.1883","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","ISSN: Tunnus aikaisemmin fk14914.","FAN",NA,NA,NA,"",1883-12-13,1985-12-31,1883,1985
"2246","1458-6630","FEN","","Keski-Savo","","","SAN","","FI","fin","FEN","FEN","","A2",60,44,"1","","Etelä-Savon Kirjapaino Oy","","12.12.1903","",NA,"30.10.1919","","",NA,"01.01.1914","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","ISSN: Tunnus aikaisemmin fk10202.","FRA",NA,NA,NA,"",1903-12-12,1919-10-30,1903,1919
"2248","1458-6584","FEN","","Otava","","","SAN","","FI","fin","FEN","FEN","","A2",56,39,"1,5","","V. A. Marjanen","","09.02.1904","",NA,"31.12.1909","","",NA,"01.07.1908","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","ISSN: Tunnus aikaisemmin fk10323.","FRA",NA,NA,NA,"",1904-02-09,1909-12-31,1904,1909
"2258","1458-0748","FEN","","Koitar","","","SAN","","FI","fin","FEN","FEN","","A2",57,40,"1,5","","Uusi Kansan Kirjapaino Oy","","30.10.1899","",NA,"29.06.1907","","",NA,"01.01.1906","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","ISSN: Tunnus aikaisemmin fk10215.","FAN",NA,NA,NA,"",1899-10-30,1907-06-29,1899,1907
"2262","1458-2481","FEN","","Mikkelin Sanomat","","","SAN","","FI","fin","FEN","FEN","","A2",51,38,"2","","Oy Mikkelin Sanomat","","07.12.1895","",NA,"19.12.1954","","",NA,"01.07.1944","PK","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","ISSN: Tunnus aikaisemmin fk10298.","ANT",NA,NA,NA,"",1895-12-07,1954-12-19,1895,1954
"2263","1458-851X","FEN","","Mikkeli","","","SAN","","FI","fin","FEN","FEN","","A2",52,38,"1","","Otto Bernhard Blomfelt","","01.11.1892","",NA,"28.02.1906","","",NA,"01.07.1902","PK","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","ISSN: Tunnus aikaisemmin fk10294.","FRA",NA,NA,NA,"",1892-11-01,1906-02-28,1892,1906
"2299","k60","","","Jaunas Deenas Lapas Feletona Peelikums","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","24.12.1905","P",NA,"31.12.1915","PK","",NA,"24.12.1905","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1905-12-24,1915-12-31,1905,1915
"2310","k71","","","""Latweescha"" Peelikums","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1904","K",NA,"31.12.1905","PK","",NA,"01.01.1904","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1904-01-01,1905-12-31,1904,1905
"2311","k72","","","Latweeschu Awischu Basnizas Un Skolas Peelikums","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1902","K",NA,"31.12.1915","PK","",NA,"01.01.1902","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1902-01-01,1915-12-31,1902,1915
"2312","k73","","","Latweeschu Awischu Semkopibas Un Saimneezibas Peelikums","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1902","K",NA,"31.12.1910","PK","",NA,"01.01.1902","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1902-01-01,1910-12-31,1902,1910
"2314","k75","","","Latweeschu Awises","","","SAN","","LV","lav","BAL","ERI","","",NA,NA,"","","tuntematon","","01.01.1822","K",NA,"15.08.1915","","",NA,"01.01.1822","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,"",1822-01-01,1915-08-15,1822,1915
"2392","0782-6559","FEN","","Västra Nyland","","","SAN","ALU","FI","swe","FEN","FEN","","A3",43,32,"1,5","","Västra Nylands Tidningar Ab","","04.01.1889","",NA,"","","",NA,"01.07.2006","","X",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Sukupuu: Fennicassa ei ole eroteltu Vestra Nyland ja Västra Nyland - lehtiä erikseen, vaan niitä pidetään yhtenä lehtenä.","ANT",NA,NA,NA,"",1889-01-04,2020-01-01,1889,2020
"2468","1458-8560","FEN","","Tammerfors Nyheter","","Enda svenskspråkiga tidning i Tavastland","SAN","","FI","swe","FEN","FEN","","A2",60,45,"1,5","","Ab Tammerfors Nyheter","","30.12.1896","",NA,"01.04.1916","","",NA,"28.04.1911","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","ANT",NA,NA,NA,"",1896-12-30,1916-04-01,1896,1916
