"ISSN","PAANIMEKE","AINYLEISMAARE","JULKAISUMAA","KIELI","KOKO","KORKEUS_CM","LEVEYS_CM","KUSTANTAJA","TEKSTITYYPPI","start_date","end_date","start_year","end_year","KAUPUNKI_NORM","levikki_1800","levikki_1801","levikki_1802","levikki_1803","levikki_1804","levikki_1805","levikki_1806","levikki_1807","levikki_1808","levikki_1809","levikki_1810","levikki_1811","levikki_1812","levikki_1813","levikki_1814","levikki_1815","levikki_1816","levikki_1817","levikki_1818","levikki_1819","levikki_1820","levikki_1821","levikki_1822","levikki_1823","levikki_1824","levikki_1825","levikki_1826","levikki_1827","levikki_1828","levikki_1829","levikki_1830","levikki_1831","levikki_1832","levikki_1833","levikki_1834","levikki_1835","levikki_1836","levikki_1837","levikki_1838","levikki_1839","levikki_1840","levikki_1841","levikki_1842","levikki_1843","levikki_1844","levikki_1845","levikki_1846","levikki_1847","levikki_1848","levikki_1849","levikki_1850","levikki_1851","levikki_1852","levikki_1853","levikki_1854","levikki_1855","levikki_1856","levikki_1857","levikki_1858","levikki_1859","levikki_1860"
"1457-439X","Helsingfors Tidningar","SAN","FI","swe","A3",40,27,"Otto Donner","FRA",1829-01-03,1866-11-30,1829,1866,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,308,318,318,527,660,766,872,939,939,970,933,923,717,850,902,877,897,933,1002,1086,1184,1179,1305,1506,1581,1786,1927,2012,2090,2273,2356
"1457-4411","Ilmarinen","SAN","FI","swe","A4",30,22,"August Alexander Levón","ANT",1847-12-11,1855-12-31,1847,1855,"Vaasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,395,0,0,0,255,0,155,0,,,,,
"1457-4268","Ilmoitus-Lehti","SAN","FI","fin","A5",25,19,"Fredrik Ahlqvist","FRA",1859-03-12,1860-12-29,1859,1860,"Kuopio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"1457-4446","Kanawa","SAN","FI","fin","A4",26,20,"Johanna Cedervaller & Son","FRA",1845-01-04,1847-12-29,1845,1847,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,418,0,,,,,,,,,,,,,
"1457-4462","Kuopion Sanomat","SAN","FI","fin","A3",38,26,"A. E. Rongain, C. J. Marelius","FRA",1856-12-06,1857-11-28,1856,1857,"Kuopio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
"1457-4454","Kuopio Tidning","SAN","FI","swe","A4-A3",27,22,"A. E. Rongain, C. J. Moberg","ANT",1851-08-07,1856-11-24,1851,1856,"Kuopio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,230,200,200,0,0,,,,
"1457-4500","Maamiehen Ystävä","SAN","FI","fin","A5",24,19,"Johan Anton Karsten","FRA",1844-01-05,1855-12-29,1844,1855,"Kuopio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1048,762,620,647,592,564,389,264,270,226,120,,,,,
"fk01443","Mehiläinen","SAN","FI","fin","",25,17,"tuntematon","FRA",1859-01-01,1863-05-01,1859,1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"1457-4373","Morgonbladet","SAN","FI","swe","A4",30,23,"Frenckell & Son","ANT",1844-12-01,1855-12-31,1844,1855,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,511,591,591,484,326,275,248,270,274,699,725,,,,,
"1457-4519","Otawa","SAN","FI","fin","A4",,,"Viipurin Suomalaisen Kirjallisuuden Seura","",1860-07-03,1863-12-29,1860,1863,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600
"1457-4527","Oulun Wiikko-Sanomia","SAN","FI","fin","A4",,,"Christian Evert Barck nuorempi","",1829-01-03,1879-12-27,1829,1879,"Oulu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,400,400,400,400,278,604,608,622
"1457-4535","Papperslyktan","SAN","FI","swe","A5",25,18,"August Schauman","ANT",1858-12-01,1861-12-30,1858,1861,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,945,634
"1457-4543","Porin Kaupungin Sanomia","SAN","FI","fin","A4",28,20,"K. O. Palander","FRA",1860-07-07,1862-12-27,1860,1862,"Pori",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"1457-456X","Saima","SAN","FI","swe","A4",30,22,"J. V. Snellman","FAN",1844-01-04,1846-12-31,1844,1846,"Kuopio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,683,685,,,,,,,,,,,,,,
"1457-4608","Sanan-Lennätin","SAN","FI","fin","A3",35,25,"Johannes Alfthan","FAN",1855-12-01,1858-12-31,1855,1858,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,436,491,525,,
"1457-4586","Sanan Saattaja Wiipurista","SAN","FI","fin","A5",25,19,"Johanna Cedervaller & Son","FRA",1833-01-05,1841-12-18,1833,1841,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,201,365,242,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
"1457-4616","Sanomia Turusta","SAN","FI","fin","A2-A3",44,30,"G. W. Wilen","FAN",1850-12-24,1903-09-01,1850,1903,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,623,623,623,623,623,623,623,623,1195
"1457-4624","Suomalainen","SAN","FI","fin","A4",,,"Carl Axel Gottlund","",1846-01-31,1846-06-30,1846,1846,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"1457-4667","Suomen Julkisia Sanomia","SAN","FI","fin","A4",39,25,"Senaatin Kansliatoimikunta","FRA",1856-11-10,1865-12-28,1856,1865,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"1457-4683","Suomenkieliset Tieto-Sanomat","SAN","FI","fin","A5",18,11,"Frenckellin Kirjapaino","FRA",1775-09-01,1776-12-31,1775,1776,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4683","Suomenkieliset Tieto-Sanomat","SAN","FI","fin","A5",18,11,"Frenckellin Kirjapaino","FRA",1775-09-01,1776-12-31,1775,1776,"Mynämäki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4705","Suometar","SAN","FI","fin","A4",36,25,"Fredrik Polén, A. Nylander","FRA",1847-01-12,1866-12-31,1847,1866,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,0,0,410,0,0,0,0,3862,0,0,0,0,1240
"1457-473X","Suomi","SAN","FI","fin","A4",30,22,"Carl Axel Gottlund","ANT",1847-01-31,1849-09-08,1847,1849,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,85,0,,,,,,,,,,,
"1457-4748","Tidningar ifrån Helsingfors","SAN","FI","swe","A4",22,18,"J. C. Frenckell","ANT",1829-01-02,1831-12-30,1829,1831,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,113,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4756","Tidningar Utgifne af et Sällskap i Åbo","SAN","FI","swe","A5",16,9,"Aurora-Seura","FRA",1771-01-15,1785-05-26,1771,1785,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4888","Turun Wiikko-Sanomat","SAN","FI","fin","A5",21,16,"Christian Ludvig Hjelt","FRA",1820-01-08,1831-12-31,1820,1831,"Turku",,,,,,,,,,,,,,,,,,,,,1625,0,0,0,332,0,0,249,0,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0356-1844","Vasabladet","SAN","FI","swe","A2",56,40,"Ab Vasabladet","ANT",1856-05-07,2020-01-01,1856,2020,"Vaasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,280,0,0
"1457-442X","Wasa Tidning","SAN","FI","swe","A4",25,21,"C. G. Wolff","ANT",1839-01-01,1847-12-24,1839,1847,"Vaasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,0,0,343,0,0,283,0,0,,,,,,,,,,,,,
"1457-4837","Wiborg","SAN","FI","swe","A3",42,30,"Viipurilaisten kauppiaiden muodostama oy","ANT",1855-01-02,1861-12-31,1855,1861,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,1409,1486,1131,976,667
"1457-4845","Wiborgs Annonce Blad","SAN","FI","swe","A5",25,20,"Johanna Cedervaller & Son","AFR",1837-01-07,1849-01-03,1837,1849,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"1457-4853","Wiborgs Tidning","SAN","FI","swe","A4",30,23,"Jakob Gabriel Leistenius","ANT",1854-02-01,1855-03-31,1854,1855,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,0,,,,,
"1457-4861","Wiburgs Mancherley","SAN","FI","ger","A5",19,11,"Kirjanpainaja Anders Cedervaller","",1821-01-01,1821-12-31,1821,1821,"Viipuri",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4578","Wiburgs Wochenblatt","SAN","FI","ger","A5",22,17,"Kirjanpainaja Anders Cedervaller","",1823-01-01,1832-12-29,1823,1832,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
